"ImageIndex","Chapter","Map","Source","Destination","SHA256","Status"
"47","1","99","1787760329142_2210334767131197631_g1860709059863148993_ba124eedf6c44a7ad4a1e0900366878d.jpg","masterdata/chap1/99.jpeg","FDA4632587DFC7128B7C4CC0B2B48D6C24AC850208645E9994FC044A439D35FE","added"
"48","1","100","1787760347581_2210334767131197631_g1860709059863148993_3b618ab539c151b1f863212ac92e57e9.jpg","masterdata/chap1/100.jpeg","583C61D5015E485DD389933A8C983ABE8C7136E64C854C87BE5B4625CD87409E","added"
"49","1","101","1787760347645_2210334767131197631_g1860709059863148993_124cb7a76040c4e6c67df08ff212d554.jpg","masterdata/chap1/101.jpeg","17F368119C0143318C743647EE50D21F6945E9F67AF5513D9137693507FC6874","added"
"50","1","106","1787760347752_2210334767131197631_g1860709059863148993_2bf7dbe682f23ea4ab8649ca6a57565a.jpg","masterdata/chap1/106.jpeg","144B6544133133BF275F12B16C58DC9A0A41AB6DDE0B0920B4225778FDED1BC6","added"
"51","1","108","1787760347848_2210334767131197631_g1860709059863148993_782620f61ee0cec7378db55b5922d11f.jpg","masterdata/chap1/108.jpeg","B8ECB9E67648BC1CF2A1B9851A447A2766FF3D0435541D34E32B0D87F036CAFC","added"
"52","1","109","1787760347960_2210334767131197631_g1860709059863148993_c13d2ed620381fac8cf52a049da72db5.jpg","masterdata/chap1/109.jpeg","F7F2C274CBBA54BD4B684C401DE484193875E4F9C33388DE9815B0A3C32610C4","added"
"53","1","110","1787760348032_2210334767131197631_g1860709059863148993_3b4a2a620a781d16e7e1f720fbd395ce.jpg","masterdata/chap1/110.jpeg","0930E62ED8CBA7EB3508CF05F2E2AE8AEF2DBDE70589967A0D9795F7A056502B","added"
"54","1","111","1787760348126_2210334767131197631_g1860709059863148993_930db11c4d989c7f6e0552432fd593f8.jpg","masterdata/chap1/111.jpeg","CF00D33DEB25EF016E16A4AD3794C0106DFFA4A9ECD98F1BBB2817958336428B","added"
"55","1","112","1787760348199_2210334767131197631_g1860709059863148993_e967df9f3e41a2a766d4fa700111c686.jpg","masterdata/chap1/112.jpeg","1CD1FD176F346747EA2BD358E10035498FA057075CA088A054EFA61EF1460C4D","added"
"56","1","113","1787760348285_2210334767131197631_g1860709059863148993_955e7eefe0489213eee292047aef0696.jpg","masterdata/chap1/113.jpeg","C6DDF954C6B040B093045213A58B8214F69E6CAE426C520F9E26EB9B80CCEBD8","added"
"57","1","114","1787760348363_2210334767131197631_g1860709059863148993_01c99dc340b5c788da79536b0239161c.jpg","masterdata/chap1/114.jpeg","15FFA8264B6A2F4440A240E0A89A3AE5B5F9015F751F32123C2E4E21D9C2880D","added"
"58","1","115","1787760348465_2210334767131197631_g1860709059863148993_2f6f392c0610f76b53d17104bd248c08.jpg","masterdata/chap1/115.jpeg","D272B5AE295AD4A6EFE69660BD58E5099D8290345E6134762EA9F8FA6AABB8C0","added"
"59","1","116","1787760348539_2210334767131197631_g1860709059863148993_d6fee6667efdc15a74631e0ed3190eca.jpg","masterdata/chap1/116.jpeg","E040651204D8840667D63EBF1D1B9D57F0C38D89A4367B996AF9D2713ED9C2A4","added"
